i, j, dm, x, s, t, u, v, n, e, s, w, p, d
0, 0, 3, 0, 1, 1, 0, 0, 0, -0.925056, -0.657, 0, 0, 0
0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 15.198
0, 0, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 15.198
0, 0, 4, 0, 0, 0, 0, 0, 0, 0, -0.372, 0, 0, 0
0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 0, 1, 0, 0, 0, -1.129362, -1.125748, 0, 0, 0
0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 1, 0, 0, 0, 0, -0.51, -0.582, 0, 0, 0
0, 0, 4, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 1, 1, 0, 0, 0, -1.572242, -1.552179, 0, 0, 0
0, 0, 4, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 10.2
0, 0, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 4, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 19.60453
0, 0, 5, 0, 0, 0, 0, 0, 0, 0, -0.3, 0, 0, 0
0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 0, 1, 0, 0, 0, -0.859176, -0.6828, 0, 0, 0
0, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 1, 0, 0, 0, 0, -0.582, -0.59928, 0, 0, 0
0, 0, 5, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 1, 1, 0, 0, 0, -1.073988, -0.9799635, 0, 0, 0
0, 0, 5, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 13.14
0, 0, 5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 17.64702
0, 0, 6, 0, 0, 0, 0, 0, 0, -0.582, -0.6324, 0, 0, 0
0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 0, 1, 0, 0, 0, -0.9338832, -1.004269, 0, 0, 0
0, 0, 6, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 1, 0, 0, 0, 0, -0.372, -0.582, 0, 0, 0
0, 0, 6, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 6, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
